path,symbol_id,latex,user_id
../../hasy-data/v2-00016.png,31,A,8071
../../hasy-data/v2-00017.png,31,A,9505
../../hasy-data/v2-00018.png,31,A,16925
../../hasy-data/v2-00019.png,31,A,16925
../../hasy-data/v2-00020.png,31,A,16925
../../hasy-data/v2-00021.png,31,A,16925
../../hasy-data/v2-00029.png,32,B,10
../../hasy-data/v2-00050.png,34,D,9283
../../hasy-data/v2-00051.png,34,D,16925
../../hasy-data/v2-00114.png,41,K,8486
../../hasy-data/v2-00232.png,56,Z,17324
../../hasy-data/v2-00427.png,77,7,8324
../../hasy-data/v2-00603.png,81,\pi,16925
../../hasy-data/v2-00604.png,81,\pi,16925
../../hasy-data/v2-00605.png,81,\pi,16925
../../hasy-data/v2-00606.png,81,\pi,16925
../../hasy-data/v2-00607.png,81,\pi,16925s
../../hasy-data/v2-17074.png,31,A,34
../../hasy-data/v2-17075.png,31,A,46
../../hasy-data/v2-17076.png,31,A,47
../../hasy-data/v2-17077.png,31,A,48
../../hasy-data/v2-17078.png,31,A,46
../../hasy-data/v2-17079.png,31,A,50
../../hasy-data/v2-17080.png,31,A,59
../../hasy-data/v2-17081.png,31,A,10
../../hasy-data/v2-17082.png,31,A,10
../../hasy-data/v2-17083.png,31,A,43
../../hasy-data/v2-17084.png,31,A,43
../../hasy-data/v2-17085.png,31,A,43
../../hasy-data/v2-17086.png,31,A,43
../../hasy-data/v2-17087.png,31,A,43
../../hasy-data/v2-17088.png,31,A,43
../../hasy-data/v2-17089.png,31,A,43
../../hasy-data/v2-17090.png,31,A,43
../../hasy-data/v2-17091.png,31,A,10
../../hasy-data/v2-17092.png,31,A,10
../../hasy-data/v2-17093.png,31,A,10
../../hasy-data/v2-17094.png,31,A,180
../../hasy-data/v2-17095.png,31,A,10
../../hasy-data/v2-17096.png,31,A,10
../../hasy-data/v2-17097.png,31,A,10
../../hasy-data/v2-17098.png,31,A,1661
../../hasy-data/v2-17099.png,31,A,1661
../../hasy-data/v2-17100.png,31,A,1710
../../hasy-data/v2-17101.png,31,A,3328
../../hasy-data/v2-17102.png,31,A,3328
../../hasy-data/v2-17103.png,31,A,4435
../../hasy-data/v2-17104.png,31,A,5877
../../hasy-data/v2-17105.png,31,A,5944
../../hasy-data/v2-17106.png,31,A,5981
../../hasy-data/v2-17107.png,31,A,5981
../../hasy-data/v2-17108.png,31,A,5981
../../hasy-data/v2-17109.png,31,A,5981
../../hasy-data/v2-17110.png,31,A,5981
../../hasy-data/v2-17111.png,31,A,5981
